# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0214.5+5145 33.6255 51.7606 49.7 2.3076e-13 1.2783 2.3076e-13 1.2783 0.004450 0.049
J0216.4+2315 34.1128 23.2544 23.5 6.6094e-13 2.4146 6.6094e-13 2.4146 0.002766 0.288
J0217.1+0836 34.2759 8.60505 16.5 3.3894e-12 3.2089 3.3894e-12 3.2089 0.000760 0.085
J0217.8+0143 34.4622 1.72569 14.2 1.1699e-11 3.2087 1.1699e-11 3.2087 0.000760 1.715
J0219.1-1723 34.7925 -17.3939 17.7 1.4451e-12 2.4146 1.4451e-12 2.4146 0.002766 0.128
J0221.1+3556 35.285 35.938 19.3 7.7248e-12 3.1042 7.7248e-12 3.1042 0.001445 0.944
J0222.6+4302 35.6663 43.0341 17.3 5.1694e-11 3.1904 5.1694e-11 3.1904 0.000764 0.444
J0227.3+0200 36.8281 2.00265 27.1 7.2019e-13 2.0505 7.2019e-13 2.0505 0.003228 0.457
J0228.2-5545 37.0546 -55.7511 16.7 2.3834e-12 3.2094 2.3834e-12 3.2094 0.000759 2.464
J0231.0-5755 37.7575 -57.9266 27.6 4.0452e-13 2.4146 4.0452e-13 2.4146 0.002766 0.032
J0232.8+2017 38.2236 20.2984 35.8 3.7774e-13 2.0505 3.7774e-13 2.0505 0.003227 0.139
J0236.8-6137 39.2104 -61.6283 17.3 1.4820e-12 3.2094 1.4820e-12 3.2094 0.000759 0.467
J0237.8+2847 39.4624 28.7956 15.2 1.1490e-11 3.2081 1.1490e-11 3.2081 0.000760 1.206
J0238.4-3117 39.6172 -31.2862 28.5 1.3414e-12 2.4147 1.3414e-12 2.4147 0.002762 0.233
J0238.6+1637 39.671 16.6271 17.7 1.2485e-11 3.2072 1.2485e-11 3.2072 0.000760 0.940
J0242.7-0002 40.6759 -0.043137 14.2 2.6087e-12 3.2091 2.6087e-12 3.2091 0.000760 0.003
J0244.4-5819 41.1231 -58.3273 30.4 9.6448e-13 1.6007 9.6448e-13 1.6007 0.003529 0.265
J0246.1-4650 41.5362 -46.8473 15.0 3.6829e-12 3.2093 3.6829e-12 3.2093 0.000759 1.385
J0250.5+1712 42.6482 17.2146 29.7 8.1621e-13 1.9113 8.1621e-13 1.9113 0.003397 0.612
J0252.8-2218 43.208 -22.3155 15.5 6.6434e-12 3.2089 6.6434e-12 3.2089 0.000760 1.419
J0256.4+0334 44.1007 3.5736 18.2 1.5107e-12 3.2119 1.5107e-12 3.2119 0.000757 0.400
J0259.4+0747 44.8585 7.78506 18.9 2.9904e-12 3.1061 2.9904e-12 3.1061 0.001446 0.893
J0303.4-2407 45.8595 -24.125 23.0 9.2274e-12 3.0987 9.2274e-12 3.0987 0.001443 0.266
J0304.5-0055 46.1354 -0.91783 30.5 5.8349e-13 1.4014 5.8349e-13 1.4014 0.004465 0.511
J0308.4+0408 47.1195 4.1336 20.2 1.5950e-12 2.4147 1.5950e-12 2.4147 0.002765 0.029
J0309.0+1029 47.2531 10.4965 15.8 3.4134e-12 3.2092 3.4134e-12 3.2092 0.000759 0.863
J0310.0-6058 47.5079 -60.9749 13.3 4.5238e-12 3.2093 4.5238e-12 3.2093 0.000759 1.479
J0312.8+3614 48.2205 36.2451 34.9 2.9274e-13 1.6845 2.9274e-13 1.6845 0.002436 0.071
J0316.2+0905 49.0552 9.09012 21.9 3.9545e-12 3.1047 3.9545e-12 3.1047 0.001445 0.372
J0316.6+4120 49.1739 41.3348 57.1 1.5866e-13 1.1387 1.5866e-13 1.1387 0.005071 0.019
J0319.8+4130 49.96 41.5123 17.2 5.9668e-11 3.1795 5.9668e-11 3.1795 0.000770 0.018
J0319.8+1845 49.9706 18.754 31.3 1.1417e-12 1.8638 1.1417e-12 1.8638 0.001226 0.190
J0325.4-5635 51.3641 -56.5933 24.3 6.7805e-13 3.1061 6.7805e-13 3.1061 0.001446 0.060
