# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0930.4+4952 142.624 49.8755 29.5 3.5117e-13 2.4146 3.5117e-13 2.4146 0.002766 0.187
J0932.1+6736 143.041 67.614 14.9 1.5358e-12 3.2092 1.5358e-12 3.2092 0.000759 0.023
J0940.5+6149 145.141 61.818 28.3 3.2032e-13 2.0504 3.2032e-13 2.0504 0.003228 0.211
J0946.2+0104 146.563 1.07264 17.8 2.1291e-12 3.2093 2.1291e-12 3.2093 0.000759 0.577
J0946.5+1017 146.634 10.286 21.5 7.7976e-13 2.4147 7.7976e-13 2.4147 0.002767 1.007
J0950.3+4553 147.576 45.892 26.8 6.9158e-13 2.0495 6.9158e-13 2.0495 0.003228 0.399
J0952.3+7502 148.084 75.0465 31.7 3.8513e-13 1.0443 3.8513e-13 1.0443 0.004632 0.181
J0954.2+4912 148.567 49.2141 24.6 8.2359e-13 2.4146 8.2359e-13 2.4146 0.002766 0.380
J0957.6+5523 149.422 55.3863 18.2 2.0046e-11 3.2041 2.0046e-11 3.2041 0.000760 0.896
J0958.7+6533 149.693 65.5652 19.4 3.8114e-12 3.2073 3.8114e-12 3.2073 0.000760 0.367
J1001.2+2910 150.313 29.1705 17.7 1.8690e-12 3.2093 1.8690e-12 3.2093 0.000759 0.558
J1006.7-2158 151.682 -21.9785 17.8 1.7988e-12 3.2092 1.7988e-12 3.2092 0.000760 0.330
J1006.9+3455 151.75 34.9211 21.2 6.6592e-13 3.1067 6.6592e-13 3.1067 0.001446 0.612
J1008.0+0622 152.004 6.37363 18.8 2.4391e-12 3.2092 2.4391e-12 3.2092 0.000759 0.650
J1010.2-3119 152.566 -31.317 41.7 7.7275e-13 1.4100 7.7275e-13 1.4100 0.004465 0.143
J1012.2+0630 153.068 6.50482 16.9 3.1748e-12 3.2092 3.1748e-12 3.2092 0.000759 0.727
J1012.6+4228 153.173 42.483 27.6 6.0963e-13 2.0513 6.0963e-13 2.0513 0.003223 0.365
J1015.0+4926 153.769 49.4354 23.7 1.9605e-11 2.1097 1.9605e-11 2.1097 -0.055260 0.212
J1016.0+0512 154.004 5.20523 17.3 4.8970e-12 3.2089 4.8970e-12 3.2089 0.000760 1.714
J1026.9+0608 156.74 6.14201 26.1 4.9111e-13 2.4147 4.9111e-13 2.4147 0.002767 0.449
J1027.5+6317 156.889 63.2928 18.9 1.3327e-12 3.1060 1.3327e-12 3.1060 0.001446 0.582
J1031.2+7442 157.821 74.711 39.5 3.2501e-13 1.3970 3.2501e-13 1.3970 0.004281 0.123
J1032.7+3737 158.197 37.6211 23.4 7.5467e-13 2.4147 7.5467e-13 2.4147 0.002766 0.528
J1033.1+4118 158.289 41.3136 14.2 1.5260e-12 3.2121 1.5260e-12 3.2121 0.000756 1.117
J1034.0+6051 158.509 60.8632 14.8 9.5323e-12 3.2083 9.5323e-12 3.2083 0.000760 1.401
J1041.7+3900 160.442 39.0097 17.4 8.8003e-13 3.1066 8.8003e-13 3.1066 0.001446 0.210
J1043.1+2409 160.776 24.1554 17.6 1.4300e-12 3.1066 1.4300e-12 3.1066 0.001445 0.560
J1051.4+3942 162.858 39.7067 20.5 1.2636e-12 3.1064 1.2636e-12 3.1064 0.001445 0.498
J1053.6+4930 163.401 49.5053 29.7 6.7398e-13 1.6836 6.7398e-13 1.6836 0.002439 0.140
J1057.8-2753 164.456 -27.8948 25.8 7.1770e-13 2.4146 7.1770e-13 2.4146 0.002766 0.091
J1058.4+0133 164.618 1.56108 17.0 1.2118e-11 3.2069 1.2118e-11 3.2069 0.000760 0.890
J1058.5-8005 164.649 -80.0997 15.4 3.7545e-12 3.2089 3.7545e-12 3.2089 0.000760 0.569
J1058.6+5628 164.665 56.4683 22.6 4.5567e-12 3.1009 4.5567e-12 3.1009 0.001444 0.143
J1100.3+4020 165.08 40.3358 18.9 1.9053e-12 3.2090 1.9053e-12 3.2090 0.000759 0.225
J1103.1+1156 165.778 11.9365 18.8 9.4267e-13 3.1067 9.4267e-13 3.1067 0.001446 0.914
J1103.6-2328 165.901 -23.482 41.7 5.5858e-13 1.3338 5.5858e-13 1.3338 0.004251 0.186
J1104.4+3812 166.121 38.2052 19.9 1.5069e-10 1.7786 1.5069e-10 1.7786 0.076906 0.030
J1105.8+3944 166.454 39.749 15.9 1.2526e-12 3.2119 1.2526e-12 3.2119 0.000757 0.099
J1107.8+1501 166.966 15.0273 17.5 2.2727e-12 3.2092 2.2727e-12 3.2092 0.000760 0.600
J1109.3+2412 167.336 24.209 22.0 7.9910e-13 2.4147 7.9910e-13 2.4147 0.002767 1.221
J1109.7+3735 167.431 37.5881 23.5 5.2551e-13 2.4147 5.2551e-13 2.4147 0.002767 0.397
J1117.0+2014 169.268 20.2381 29.7 1.9632e-12 1.9873 1.9632e-12 1.9873 0.003254 0.138
J1119.8-3047 169.961 -30.7914 27.0 3.2832e-13 2.4112 3.2832e-13 2.4112 0.002809 0.412
J1120.8+4212 170.201 42.2017 25.4 4.2837e-12 2.4149 4.2837e-12 2.4149 0.002752 0.124
J1125.5-3556 171.393 -35.9491 25.6 1.0499e-12 2.4147 1.0499e-12 2.4147 0.002765 0.284
J1125.9-0743 171.482 -7.71957 24.8 4.9211e-13 2.4147 4.9211e-13 2.4147 0.002767 0.279
J1127.0-1857 171.76 -18.9591 17.8 1.2793e-11 3.2073 1.2793e-11 3.2073 0.000760 1.048
J1131.6+5809 172.906 58.1656 18.1 1.1959e-12 3.2093 1.1959e-12 3.2093 0.000759 0.360
J1132.7+0033 173.184 0.562603 18.7 4.6486e-12 3.2089 4.6486e-12 3.2089 0.000760 1.223
J1136.4+6737 174.121 67.6183 25.0 1.3439e-12 2.4147 1.3439e-12 2.4147 0.002762 0.136
J1136.5+7009 174.131 70.1526 29.9 1.9962e-12 1.9875 1.9962e-12 1.9875 0.003251 0.045
J1136.8+2549 174.219 25.8328 31.4 5.0849e-13 2.0505 5.0849e-13 2.0505 0.003227 0.156
J1137.8-1710 174.472 -17.1713 19.2 1.8835e-12 2.4147 1.8835e-12 2.4147 0.002766 0.600
J1140.5+1528 175.132 15.48 28.4 6.1859e-13 2.0505 6.1859e-13 2.0505 0.003227 0.244
J1142.0+1546 175.517 15.7769 18.3 1.3873e-12 3.1065 1.3873e-12 3.1065 0.001445 0.299
J1143.1+6121 175.798 61.3529 16.8 1.4478e-12 3.2091 1.4478e-12 3.2091 0.000759 0.049
J1145.0+1935 176.268 19.5903 41.7 2.1494e-13 1.1102 2.1494e-13 1.1102 0.005268 0.022
J1147.0-3812 176.775 -38.2061 21.6 2.1210e-12 2.4146 2.1210e-12 2.4146 0.002765 1.048
J1150.3+2418 177.588 24.3008 15.6 3.7731e-12 3.2089 3.7731e-12 3.2089 0.000760 0.200
J1151.5-1347 177.898 -13.7901 20.7 1.3250e-12 2.4147 1.3250e-12 2.4147 0.002766 0.838
J1153.2+4929 178.322 49.4926 16.3 1.0787e-12 3.2120 1.0787e-12 3.2120 0.000757 0.334
J1154.0+4038 178.522 40.639 23.0 6.5224e-13 2.4147 6.5224e-13 2.4147 0.002767 0.916
J1154.1-0010 178.526 -0.180381 20.3 2.3556e-12 3.1059 2.3556e-12 3.1059 0.001445 0.254
J1159.1-2140 179.788 -21.6782 15.4 1.6893e-12 3.2094 1.6893e-12 3.2094 0.000760 0.617
J1159.5+2914 179.88 29.237 16.5 1.0653e-11 3.2076 1.0653e-11 3.2076 0.000760 0.729
J1203.1+6030 180.781 60.5122 26.1 6.1703e-13 2.4146 6.1703e-13 2.4146 0.002765 0.065
J1204.2-0709 181.072 -7.1537 22.0 1.6365e-12 3.1060 1.6365e-12 3.1060 0.001446 0.184
J1208.1+6120 182.043 61.3406 17.3 8.0123e-13 3.2120 8.0123e-13 3.2120 0.000757 0.275
J1209.3+4118 182.348 41.3124 18.9 2.0706e-12 2.4154 2.0706e-12 2.4154 0.002765 1.336
J1209.9+1809 182.476 18.1659 22.0 7.5237e-13 2.4147 7.5237e-13 2.4147 0.002767 0.845
J1213.0+5128 183.252 51.4789 28.7 3.4872e-13 1.6832 3.4872e-13 1.6832 0.002440 0.796
J1213.2-2618 183.317 -26.3034 20.0 1.3095e-12 2.4146 1.3095e-12 2.4146 0.002766 0.278
J1215.1+5002 183.793 50.0411 18.3 2.0170e-12 2.4149 2.0170e-12 2.4149 0.002765 1.381
J1216.0-0242 184.019 -2.71377 19.1 9.9089e-13 2.4147 9.9089e-13 2.4147 0.002767 0.359
J1217.9+3006 184.477 30.1148 22.1 1.2584e-11 3.0952 1.2584e-11 3.0952 0.001443 0.130
J1218.0-0028 184.52 -0.478239 16.8 1.9698e-12 3.2094 1.9698e-12 3.2094 0.000759 0.419
J1219.7-0312 184.927 -3.21292 23.7 8.3834e-13 3.1065 8.3834e-13 3.1065 0.001445 0.299
J1220.2+7103 185.052 71.0553 17.0 1.8634e-12 3.2091 1.8634e-12 3.2091 0.000760 0.451
J1221.3+3010 185.337 30.1669 22.2 1.1433e-11 1.7530 1.1433e-11 1.7530 0.000865 0.184
J1221.5+2813 185.385 28.2321 22.0 3.2998e-12 3.1037 3.2998e-12 3.1037 0.001445 0.102
J1224.4+2436 186.109 24.607 29.0 1.9481e-12 1.9874 1.9481e-12 1.9874 0.003254 0.219
J1224.9+2122 186.227 21.3819 18.6 2.0811e-11 3.2018 2.0811e-11 3.2018 0.000760 0.434
J1226.9-1328 186.745 -13.4675 21.0 1.5063e-12 2.4147 1.5063e-12 2.4147 0.002766 0.456
J1227.1-4436 186.8 -44.614 20.9 6.7975e-13 3.1065 6.7975e-13 3.1065 0.001446 0.110
J1229.2+0201 187.304 2.02499 14.6 3.9679e-12 3.2089 3.9679e-12 3.2089 0.000760 0.158
J1230.8+1223 187.703 12.3889 32.7 9.5737e-13 1.9106 9.5737e-13 1.9106 0.003391 0.004
J1231.4+1422 187.866 14.368 24.3 9.0967e-13 2.4146 9.0967e-13 2.4146 0.002766 0.256
J1231.6+6415 187.905 64.2663 27.4 3.6395e-13 2.0505 3.6395e-13 2.0505 0.003228 0.163
J1231.7+2847 187.938 28.7929 19.8 5.6310e-12 3.2074 5.6310e-12 3.2074 0.000760 0.236
J1239.6+0443 189.91 4.72064 15.7 3.5930e-12 3.2093 3.5930e-12 3.2093 0.000760 1.761
J1243.0+7316 190.767 73.2743 46.6 1.3313e-13 1.6160 1.3313e-13 1.6160 0.004802 0.075
J1243.2+3627 190.802 36.4622 23.0 6.0922e-12 2.4147 6.0922e-12 2.4147 0.002760 1.065
J1246.6-2548 191.672 -25.8074 14.5 1.4435e-11 3.2075 1.4435e-11 3.2075 0.000760 0.635
J1247.0+4421 191.752 44.3524 18.9 1.3454e-12 3.1060 1.3454e-12 3.1060 0.001445 0.600
J1253.6-3934 193.422 -39.5732 18.7 1.0661e-12 3.2094 1.0661e-12 3.2094 0.000759 0.179
J1253.7+0328 193.447 3.47301 25.5 7.5989e-13 2.4146 7.5989e-13 2.4146 0.002766 0.066
J1253.9+6242 193.477 62.7134 23.1 6.0091e-13 1.7275 6.0091e-13 1.7275 0.003683 0.868
J1254.4+2210 193.606 22.1826 19.0 1.1634e-12 3.2120 1.1634e-12 3.2120 0.000757 0.509
J1256.1-0547 194.044 -5.79459 17.3 2.2078e-11 3.2049 2.2078e-11 3.2049 0.000760 0.536
J1256.2-1146 194.064 -11.7807 24.8 1.2028e-12 3.1054 1.2028e-12 3.1054 0.001445 0.058
J1258.3+6121 194.582 61.3666 15.7 1.1461e-12 3.2094 1.1461e-12 3.2094 0.000759 0.224
J1258.8-2218 194.712 -22.3145 15.3 3.2549e-12 3.2094 3.2549e-12 3.2094 0.000759 1.303
J1259.0-2311 194.765 -23.1905 20.3 1.3652e-12 3.2093 1.3652e-12 3.2093 0.000759 0.481
J1303.0+2435 195.762 24.5915 16.9 3.5806e-12 3.2091 3.5806e-12 3.2091 0.000759 0.993
J1309.4+4305 197.371 43.086 21.6 3.8103e-12 2.4147 3.8103e-12 2.4147 0.002762 0.691
J1310.3-1158 197.58 -11.9714 24.9 8.0273e-13 2.4144 8.0273e-13 2.4144 0.002765 0.140
J1310.5+3221 197.649 32.351 15.3 7.6172e-12 3.2086 7.6172e-12 3.2086 0.000760 0.997
J1312.6+4828 198.157 48.4778 19.8 3.7620e-12 3.1050 3.7620e-12 3.1050 0.001445 0.501
J1315.0-4237 198.772 -42.6218 30.8 7.8525e-13 2.0399 7.8525e-13 2.0399 0.003222 0.105
J1316.0-3337 199.018 -33.6207 18.7 2.3450e-12 3.2093 2.3450e-12 3.2093 0.000759 1.210
J1319.5+1404 199.896 14.0706 14.8 2.9344e-12 2.4147 2.9344e-12 2.4147 0.002766 0.573
J1321.2+2217 200.302 22.2879 14.6 3.5528e-12 3.2093 3.5528e-12 3.2093 0.000759 0.943
J1332.0-0510 203.022 -5.17268 13.9 4.4058e-12 3.2094 4.4058e-12 3.2094 0.000759 2.150
J1332.5-1256 203.14 -12.9398 15.2 4.2930e-12 3.2093 4.2930e-12 3.2093 0.000759 1.498
J1333.7+5056 203.426 50.9395 19.2 1.0712e-12 2.4149 1.0712e-12 2.4149 0.002766 1.362
J1335.3-2950 203.847 -29.8467 28.2 9.2592e-13 3.2092 9.2592e-13 3.2092 0.000759 0.513
J1337.7-1257 204.438 -12.9548 16.8 2.2975e-12 3.2091 2.2975e-12 3.2091 0.000759 0.539
J1340.5+4410 205.13 44.1807 27.7 4.1007e-13 2.4146 4.1007e-13 2.4146 0.002766 0.546
J1341.2+3959 205.313 39.9897 28.8 5.0634e-13 1.7272 5.0634e-13 1.7272 0.003709 0.172
J1344.2-1723 206.053 -17.3927 12.6 1.0522e-11 3.2090 1.0522e-11 3.2090 0.000760 2.490
J1345.5+4452 206.382 44.8825 15.2 1.6672e-11 3.2078 1.6672e-11 3.2078 0.000760 2.534
J1359.8-3744 209.969 -37.7499 28.3 9.2665e-13 2.4147 9.2665e-13 2.4147 0.002765 0.334
J1402.6+1559 210.654 15.984 23.1 6.2431e-13 2.4146 6.2431e-13 2.4146 0.002766 0.244
J1404.8+6555 211.216 65.9187 26.0 7.2210e-13 1.7339 7.2210e-13 1.7339 0.003719 0.363
J1404.9+0401 211.233 4.02896 27.9 6.1220e-13 2.0401 6.1220e-13 2.0401 0.003225 0.344
J1408.9-0751 212.237 -7.86636 16.6 2.9362e-12 3.2092 2.9362e-12 3.2092 0.000759 1.493
J1411.8+5249 212.965 52.8229 24.4 4.2527e-13 2.4146 4.2527e-13 2.4146 0.002766 0.076
J1415.6+4830 213.915 48.5152 24.1 1.3133e-12 2.4148 1.3133e-12 2.4148 0.002757 0.496
J1416.1-2417 214.031 -24.2922 20.9 8.5213e-13 3.1065 8.5213e-13 3.1065 0.001446 0.136
J1418.0+2543 214.501 25.7291 31.5 7.0232e-13 1.9870 7.0232e-13 1.9870 0.003257 0.237
J1419.4+0444 214.868 4.74528 15.5 2.2109e-12 3.2092 2.2109e-12 3.2092 0.000759 0.143
J1419.7+5423 214.947 54.3907 21.1 7.9805e-13 3.2119 7.9805e-13 3.2119 0.000757 0.153
J1422.6+5801 215.654 58.0189 22.3 1.0832e-12 2.4147 1.0832e-12 2.4147 0.002766 0.635
J1427.9-4206 216.982 -42.1082 13.7 1.0448e-10 3.1986 1.0448e-10 3.1986 0.000761 1.522
J1428.5+4240 217.136 42.672 29.8 1.5717e-12 2.4148 1.5717e-12 2.4148 0.002760 0.129
J1435.5+2021 218.876 20.3645 15.8 1.8258e-12 3.2094 1.8258e-12 3.2094 0.000759 0.748
J1439.3+3931 219.829 39.523 23.0 1.0400e-12 2.4147 1.0400e-12 2.4147 0.002766 0.344
J1440.9+0610 220.234 6.17513 17.6 2.2088e-12 3.2092 2.2088e-12 3.2092 0.000759 0.396
J1442.8+1200 220.71 12.0031 27.2 9.3210e-13 2.4148 9.3210e-13 2.4148 0.002764 0.163
J1443.5+2515 220.897 25.2639 27.8 3.2312e-13 2.4147 3.2312e-13 2.4147 0.002767 0.529
J1443.9+2502 220.984 25.0443 17.2 7.8929e-12 3.2082 7.8929e-12 3.2082 0.000760 0.939
J1443.9-3908 220.995 -39.1438 23.9 6.8864e-12 3.0980 6.8864e-12 3.0980 0.001443 0.065
J1449.5+2745 222.385 27.7563 29.4 2.7247e-13 1.6844 2.7247e-13 1.6844 0.002436 0.227
J1450.9+5202 222.73 52.0377 14.5 3.0134e-12 3.2094 3.0134e-12 3.2094 0.000759 2.471
J1451.2+6355 222.82 63.9308 33.8 4.4257e-13 1.1342 4.4257e-13 1.1342 0.004453 0.650
J1457.5-3538 224.382 -35.6478 15.2 4.8141e-12 3.2091 4.8141e-12 3.2091 0.000759 1.424
J1458.7+3722 224.695 37.368 13.4 2.0894e-12 3.2094 2.0894e-12 3.2094 0.000759 0.333
J1500.9+2238 225.248 22.6402 21.5 1.9657e-12 3.1057 1.9657e-12 3.1057 0.001445 0.235
J1503.3+4758 225.838 47.9735 26.9 3.6338e-13 2.4146 3.6338e-13 2.4146 0.002766 0.344
J1504.3+1030 226.087 10.5023 15.4 2.5220e-11 3.2067 2.5220e-11 3.2067 0.000760 1.839
J1506.0+3732 226.523 37.5425 14.4 1.7392e-12 3.2120 1.7392e-12 3.2120 0.000757 0.673
J1506.7+0813 226.691 8.2188 22.9 2.0164e-12 3.1058 2.0164e-12 3.1058 0.001445 0.376
J1507.2+1722 226.825 17.3677 15.6 3.2197e-12 3.2091 3.2197e-12 3.2091 0.000759 0.565
J1508.7+2708 227.188 27.1442 25.7 5.1341e-13 2.4146 5.1341e-13 2.4146 0.002766 0.270
J1509.8+5556 227.45 55.941 18.8 1.5273e-12 2.4149 1.5273e-12 2.4149 0.002766 1.680
J1512.1-2254 228.041 -22.9147 17.0 3.5094e-12 3.2088 3.5094e-12 3.2088 0.000760 0.315
J1512.2+0203 228.072 2.06037 18.2 2.1984e-12 3.1060 2.1984e-12 3.1060 0.001445 0.220
J1512.8-0906 228.208 -9.10764 18.0 3.3594e-11 3.1967 3.3594e-11 3.1967 0.000761 0.360
J1517.6-2422 229.42 -24.3669 22.3 6.1670e-12 3.0998 6.1670e-12 3.0998 0.001444 0.048
J1517.7+6525 229.445 65.4213 21.7 2.4560e-12 3.1055 2.4560e-12 3.1055 0.001445 0.702
J1518.5+4044 229.645 40.7399 18.2 1.0470e-12 3.2093 1.0470e-12 3.2093 0.000759 0.065
J1522.1+3144 230.547 31.7385 14.9 1.7695e-11 3.2078 1.7695e-11 3.2078 0.000760 1.489
J1522.6-2731 230.659 -27.5212 17.9 2.6757e-12 2.4147 2.6757e-12 2.4147 0.002766 1.297
J1530.9+5736 232.739 57.6013 17.8 1.2765e-12 3.2095 1.2765e-12 3.2095 0.000759 1.100
J1531.9+3016 232.986 30.2732 20.4 8.0712e-13 3.1064 8.0712e-13 3.1064 0.001446 0.065
J1533.2+1855 233.314 18.9307 28.4 6.9603e-13 2.0505 6.9603e-13 2.0505 0.003227 0.307
J1534.8+0131 233.712 1.52661 23.1 7.2185e-13 2.4149 7.2185e-13 2.4149 0.002766 1.428
J1534.9+5320 233.739 53.3373 28.9 8.0178e-13 3.2092 8.0178e-13 3.2092 0.000759 0.890
J1539.8+2744 234.959 27.7411 23.6 7.1133e-13 2.0403 7.1133e-13 2.0403 0.003225 2.196
J1540.7+1448 235.195 14.8157 33.3 3.9053e-13 0.4745 3.9053e-13 0.4745 0.004707 0.605
J1543.0+6129 235.756 61.4979 17.0 1.8293e-11 3.2038 1.8293e-11 3.2038 0.000760 0.507
J1543.6+0452 235.9 4.87997 22.0 1.2701e-12 3.1060 1.2701e-12 3.1060 0.001445 0.040
J1554.2+2010 238.571 20.1771 42.9 1.7293e-13 0.1714 1.7293e-13 0.1714 0.008183 0.222
J1558.8+5626 239.722 56.4434 17.1 2.7604e-12 3.2087 2.7604e-12 3.2087 0.000760 0.300
J1558.8-6432 239.723 -64.5397 22.3 2.5652e-12 3.1037 2.5652e-12 3.1037 0.001445 0.080
J1603.8+1103 240.951 11.0573 21.4 6.7090e-13 2.4146 6.7090e-13 2.4146 0.002766 0.143
J1603.8+5010 240.959 50.1669 24.1 5.4018e-13 2.0401 5.4018e-13 2.0401 0.003225 0.621
J1606.2+5629 241.563 56.4957 24.0 5.8441e-13 2.4146 5.8441e-13 2.4146 0.002766 0.450
J1607.0+1550 241.756 15.8357 16.0 3.2101e-12 3.2090 3.2101e-12 3.2090 0.000759 0.496
J1613.6+3411 243.421 34.194 15.0 3.2752e-12 2.4149 3.2752e-12 2.4149 0.002765 1.399
J1615.4+4711 243.867 47.1952 16.5 1.2774e-12 3.2093 1.2774e-12 3.2093 0.000759 0.199
J1618.1-7717 244.539 -77.2917 15.1 1.8580e-12 3.2095 1.8580e-12 3.2095 0.000759 1.710
J1625.8-2527 246.454 -25.4568 16.0 6.9066e-12 3.2084 6.9066e-12 3.2084 0.000760 0.786
J1626.2+3515 246.575 35.2623 26.8 1.0552e-12 3.2090 1.0552e-12 3.2090 0.000759 0.497
J1629.0+7707 247.256 77.1271 18.8 1.4918e-12 3.1061 1.4918e-12 3.1061 0.001446 0.400
J1632.2+8232 248.066 82.5497 16.4 1.1258e-12 3.2092 1.1258e-12 3.2092 0.000759 0.024
J1635.2+3808 248.823 38.1393 12.7 1.8375e-11 3.2075 1.8375e-11 3.2075 0.000760 1.814
J1637.7+4716 249.433 47.2696 14.8 2.5264e-12 3.2093 2.5264e-12 3.2093 0.000759 0.735
J1640.6+3945 250.155 39.7626 13.8 6.9139e-12 3.2090 6.9139e-12 3.2090 0.000759 1.660
J1642.9+3948 250.735 39.8149 22.9 1.2332e-12 2.4146 1.2332e-12 2.4146 0.002766 0.593
J1643.5-0646 250.891 -6.77751 31.7 4.3712e-13 1.6845 4.3712e-13 1.6845 0.002436 0.082
J1647.6+4950 251.902 49.8462 18.9 1.3988e-12 3.2090 1.3988e-12 3.2090 0.000759 0.047
J1652.7+4024 253.194 40.4034 19.9 9.8448e-13 2.4147 9.8448e-13 2.4147 0.002766 0.240
J1653.8+3945 253.471 39.7582 21.1 4.1736e-11 1.8862 4.1736e-11 1.8862 0.000788 0.033
J1657.8+4808 254.469 48.1458 16.4 2.0324e-12 3.2094 2.0324e-12 3.2094 0.000760 1.669
J1700.1+6831 255.043 68.5171 17.6 1.9609e-12 3.2089 1.9609e-12 3.2089 0.000760 0.301
J1703.6-6212 255.909 -62.2154 13.2 4.2448e-12 3.2093 4.2448e-12 3.2093 0.000760 1.755
J1704.2+1234 256.055 12.5788 15.7 1.3222e-12 3.2095 1.3222e-12 3.2095 0.000759 0.400
J1709.5+4318 257.385 43.3026 19.2 2.2324e-12 2.4146 2.2324e-12 2.4146 0.002766 1.027
J1716.1+6835 259.037 68.5895 16.0 1.2402e-12 3.1062 1.2402e-12 3.1062 0.001446 0.777
J1719.2+1745 259.808 17.7576 16.9 5.9986e-12 3.2076 5.9986e-12 3.2076 0.000760 0.137
J1722.7+1014 260.686 10.2413 22.2 1.1973e-12 3.1063 1.1973e-12 3.1063 0.001446 0.732
J1725.4+5851 261.356 58.8637 18.9 9.6894e-13 2.4147 9.6894e-13 2.4147 0.002766 0.297
J1728.3+5013 262.09 50.222 27.4 4.0254e-12 1.9139 4.0254e-12 1.9139 0.021728 0.055
J1730.7+0022 262.682 0.37755 13.5 5.5364e-12 3.2092 5.5364e-12 3.2092 0.000759 1.335
J1730.8+3715 262.706 37.2592 16.2 1.7171e-12 3.2092 1.7171e-12 3.2092 0.000759 0.204
J1733.0-1304 263.251 -13.0692 15.6 8.5111e-12 3.2083 8.5111e-12 3.2083 0.000760 0.902
J1734.4+3858 263.61 38.9754 17.4 1.6038e-12 3.2094 1.6038e-12 3.2094 0.000759 0.976
J1739.4+4955 264.872 49.9169 17.8 1.5339e-12 3.1063 1.5339e-12 3.1063 0.001446 1.545
J1740.0+4737 265.012 47.6211 16.7 1.1689e-12 3.2095 1.1689e-12 3.2095 0.000759 0.952
J1740.4+5210 265.125 52.1707 15.6 2.9852e-12 3.2093 2.9852e-12 3.2093 0.000759 1.381
J1740.7+5346 265.182 53.7789 15.9 1.1667e-12 3.2095 1.1667e-12 3.2095 0.000758 0.400
J1742.5+5946 265.635 59.7774 21.4 4.7522e-13 3.1066 4.7522e-13 3.1066 0.001446 0.400
J1744.0+1935 266.014 19.5921 23.0 1.5743e-12 2.4146 1.5743e-12 2.4146 0.002764 0.084
J1745.6+3950 266.414 39.8387 30.7 1.7921e-13 2.0991 1.7921e-13 2.0991 0.003053 0.267
J1751.5+0938 267.878 9.63708 16.8 4.2841e-12 3.2085 4.2841e-12 3.2085 0.000760 0.322
J1757.1+7031 269.278 70.5228 37.4 1.5918e-13 0.7905 1.5918e-13 0.7905 0.004779 0.407
J1800.7+7828 270.186 78.4738 17.9 8.1227e-12 3.2068 8.1227e-12 3.2068 0.000760 0.680
J1802.6-3940 270.67 -39.6742 14.3 8.7311e-12 3.2087 8.7311e-12 3.2087 0.000760 1.319
J1806.8+6950 271.7 69.8389 16.9 5.8660e-12 3.2067 5.8660e-12 3.2067 0.000760 0.050
J1813.5+3144 273.396 31.7387 19.1 1.3705e-12 3.2092 1.3705e-12 3.2092 0.000759 0.117
J1824.0+5651 276.007 56.8649 19.4 1.4681e-12 3.1064 1.4681e-12 3.1064 0.001446 0.663
J1824.5+4310 276.142 43.1782 21.5 7.6906e-13 2.4147 7.6906e-13 2.4147 0.002766 0.487
J1829.4+4845 277.355 48.7605 24.3 5.4875e-13 2.4146 5.4875e-13 2.4146 0.002767 0.695
J1833.6-2104 278.413 -21.0683 14.6 1.7214e-11 3.2081 1.7214e-11 3.2081 0.000760 2.507
J1843.4-4835 280.863 -48.5892 16.1 1.6370e-12 3.2093 1.6370e-12 3.2093 0.000759 0.111
J1848.4+6538 282.112 65.6339 23.2 4.0765e-13 2.4147 4.0765e-13 2.4147 0.002767 0.364
J1848.5+3217 282.133 32.2988 17.3 1.7424e-12 3.1061 1.7424e-12 3.1061 0.001446 0.798
J1849.3+6705 282.338 67.0942 16.8 6.2051e-12 3.2079 6.2051e-12 3.2079 0.000760 0.657
J1852.3+4855 283.086 48.9245 16.1 3.3928e-12 3.2091 3.3928e-12 3.2091 0.000759 1.250
J1902.8-6748 285.709 -67.8007 12.1 4.2067e-12 3.2089 4.2067e-12 3.2089 0.000760 0.255
J1911.3-2007 287.847 -20.1315 12.5 7.2524e-12 3.2090 7.2524e-12 3.2090 0.000760 1.119
J1917.7-1921 289.438 -19.3662 26.2 5.9777e-12 1.9632 5.9777e-12 1.9632 0.000078 0.137
J1923.5-2102 290.893 -21.0417 13.8 3.9945e-12 3.2092 3.9945e-12 3.2092 0.000759 0.874
J1924.8-2913 291.218 -29.2221 16.4 3.8975e-12 3.2087 3.8975e-12 3.2087 0.000760 0.353
J1936.9-4720 294.228 -47.3401 25.2 1.9298e-12 2.4147 1.9298e-12 2.4147 0.002761 0.265
J1954.5-1126 298.632 -11.4475 17.0 2.0309e-12 3.1061 2.0309e-12 3.1061 0.001446 0.683
